Origin,Count
Việt Nam,696798
Nhật Bản,18488
"Anh, Việt Nam",8970
China,129426
Trung Quốc,201076
Singapore,1593
China / Vietnam,5590
Malaysia,4135
china,35111
Thụy Sỹ,2514
Đài Loan,12090
Hàn Quốc,18929
Hong Kong,9913
Nhật Bản / Đài Loan,87
Germany,907
Philippines,330
Mỹ,11974
Thái Lan,10575
Ba Lan,1341
Đan Mạch,409
Italia / Trung Quốc,240
Hàn Quốc / Trung Quốc,2833
Mexico,160
Nhật Bản / Trung Quốc,1070
Úc,1969
HongKong/Trung Quốc,5769
Pháp,4127
Taiwan,1493
Nga,1115
Việt Nam/Trung Quốc/Thái Lan/Indonesia...,255
Ấn Độ,1791
Nhật Bản / Việt Nam,1116
Tây Ban Nha,1398
Đài Loan/ Hàn Quốc,29
USA / China,536
Indonesia,1589
Pháp/ Mỹ,13
Thái Lan / Trung Quốc,1003
Phần Lan,55
Việt Nam / Malaysia,76
Thụy Điển,216
Ý,2263
Việt Nam / Trung Quốc,4651
Iran,103
Việt Nam/ Trung Quốc/ Đức,240
Đức,6854
Cuba,161
France,220
usa,728
Italia,1708
Anh,2503
Chile,193
Trung Quốc / Singapore / Việt Nam,434
Mỹ / Trung Quốc,981
Trung Quốc/ Hàn Quốc/ Việt Nam/ Philipin,123
Ai Cập,101
Pakistan,206
Korea / China / Vietnam,751
Sri LanKa,86
Việt Nam/Ấn Độ/Trung Quốc (Tùy từng đợt nhập hàng),3264
Việt Nam / Indonesia,197
Scotland,51
Việt Nam / Thái Lan,191
Taiwan / China / Thailand,97
Spain,49
Đức / Ba Lan / Hungary / Áo,149
Nhật Bản / Thái Lan,102
Poland,51
Thái Lan / Trung Quốc / Malaysia (Tùy từng đợt nhập hàng),242
Cộng hòa Séc,361
Canada,926
New Zealand,410
Việt Nam/ Trung Quốc/ Ấn Độ/ Indonesia,76
Georgia,1
Korea,491
Đài Loan / Nhật Bản / Trung Quốc,95
Trung Quốc / Nhật Bản / Việt Nam,374
Bồ Đào Nha,85
Bangladesh,112
Việt Nam / Đài Loan,693
"Mỹ, Anh,...",97
"Việt Nam / Hàn Quốc / Ấn Độ / Trung Quốc,...",524
Brazil,191
Taiwan / China / India / Vietnam,246
Malaysia/ Trung quốc,113
Áo,114
Trung Quốc/Hàn Quốc/Mỹ/Thái Lan/Nhật Bản (tùy vào đợt hàng),352
Đức / Ba Lan,205
Israel,190
China / Malaysia,316
Thổ Nhĩ Kỳ,477
Australia,556
Hy Lạp,134
USA / China / Singapore / Japan / Taiwan / India,88
Japan,646
Hà Lan,410
Ấn Độ/Indonesia,71
Japan / China,143
Bulgaria,180
Ukraine,265
Việt Nam / Pháp,139
China / Singapore,214
"Việt nam, Ấn Độ",58
Indonesia / Malaysia,25
UAE,94
Philippines / Việt Nam,22
Nam Phi,62
Hàn Quốc / Indonesia / Việt Nam,397
Thái Lan/ Indonesia/Trung Quốc,25
Tây Ban Nha / Việt Nam,10
Nhiều quốc gia,1197
Tây Ban Nha / Indonesia / Việt Nam / Thái Lan,48
Mexico/Mỹ,35
Peru,75
Myanmar,139
Tunisia,40
Multiple Countries,202
Canada và các nước khác hợp tác sản xuất,23
argentina,37
USA / Taiwan / China,62
Rumani,177
Thái Lan / Mã Lai,52
Mỹ / Mexico,12
Estonia,31
Ấn Độ / Indonesia,39
Austria,30
Taiwan / China,503
Trung Quốc/ Ấn Độ,36
Slovakia,55
Trung Quốc/ Ấn Độ/ Hàn Quốc,26
Nepal,27
Campuchia,113
Latvia,48
Bỉ,170
Hungary,133
Mexico/Trung Quốc,37
Tây Ban Nha / Indonesia / Việt Nam,7
Đài Loan - Hồng Kông,122
Thái Lan / Trung Quốc / Malaysia,51
Chi Lê / Đan Mạch / Indonesia / Việt Nam,94
Guatemala,2
Indonesia / Thái Lan,46
Turkey,43
Philipines / Trung Quốc,39
Ireland,32
Bulgary,25
Thái Lan / Philippines / Trung Quốc,78
"Thái Lan, Đài Loan",25
Dubai,67
Không xác định,87
Ailen,20
Iceland,4
Na Uy,24
Slovenia,68
Thái Lan / Philippines,1
Jordan,18
"Việt Nam, Trung Quốc, Campuchia,...",47
Lithuania,25
"Bonaire, Saint Eustatius and Saba",9
"BONAIRE, SAINT EUSTATIUS AND SABA",12
Russia,9
Baltic,9
Mỹ / Brazil,4
Croatia,27
Đan Mạch/Trung Quốc,35
Malaysia/ Mexico,13
Tây Ban Nha/Bồ Đào Nha/Thổ Nhĩ Kỳ,3
Việt Nam / Ba Lan,17
ALBANIA,5
Belarus,106
Scotland / Việt Nam,6
Columbia,12
Japan/Philippines,2
Nauy,16
Đức / Ý,2
Malta,4
Moldova,2
Taiwan / Italy / China,12
Dominica,4
Xri Lan-Ca,4
Madagascar,5
Trung Quốc / Thái Lan / Mexico,4
Costa Rica,2
Albania,9
Cộng Hòa Fiji,3
Cộng hòa Síp,2
Đức/ Tây Ban Nha,6
Macao,5
Argentina,10
El Salvandor,2
Sweden,22
